LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Irrigate7 is Solar Powered ATmega1284p,,,TOTAL,
,,,,,,5/19/17 14320^2 Preliminary,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C5 C7 C10,4,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.049,=C5*I5,CC01
2,C2 C16 C17 C108 C109 C110 C111,7,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C6*I6,HT
3,C3,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C7*I7,ADPT
4,C4 C6 C9 C13 C14 C15 C18 C19 C20 C101 C102 C103 C105 C107,14,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C8*I8,ADPT
5,C8 C11 C12,3,C-C,1206X5R50V106K,SAMSUNG@CL31A106KBHNNNE,CAP CER 10UF 50V 10% X5R 1206,(1),0.2886,=C9*I9,CC01
6,C21 C22,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0112,=C10*I10,RPUNO
7,C104,1,C-C,0603NPO50V331J,TDK@C1608C0G1H331J080AA,CAP CER 330PF 50V 5% NPO 0603,(1),0.0225,=C11*I11,IRRIGATE7
8,C106,1,C-AL,295R35V228,NICHICON@UVR1V222MHD,CAP ALUM 35V 2200UF 20% RADIAL,(1),0.785,=C12*I12,IRRIGATE7
9,D1 D4 D101,3,D-SBR,SQ4,DIODES@SBR2A40SA,DIODE SBR 40V 2A SMA,(1),0.289,=C13*I13,CC01
10,D2 D3 D5 D6 D7 D102,6,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C14*I14,CC01
11,D103,1,D-LED,0805RD,OSRAM@LS R976-NR-1,LED RED 2V@20MA 0805,(1),0.119,=C15*I15,ADPT
12,J1 J2 J10 J12,=4*4/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 4 SET OF 4,(6 2),1.13,=C16*I16,SHLD
13,J3,=1*6/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 6,(6 2),1.13,=C17*I17,SHLD
14,J4 J7 J8 J11,=4*5/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 4 SET OF 5,(6 2),1.13,=C18*I18,SHLD
15,J5 J6,=2*3/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 2 SET OF 3,(6 2),1.13,=C19*I19,SHLD
16,J9,=1*5/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 5X2,(1),3.774,=C20*I20,IRRIGATE7
17,J13 J14 J15,3,J-HDR2.54mm,PPPC101LFBN,SULLINS@PPPC101LFBN-RC,CONN HEADER FEMALE 10POS .1IN,(1),0.518,=C21*I21,IRRIGATE7
18,J16,1,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE 8POS .1IN,(1),0.518,=C22*I22,IRRIGATE7
19,J17,=1*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 3X2,(1),3.774,=C23*I23,IRRIGATE7
20,J18 J19 J21,=2*2/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 3,(1),2.091,=C24*I24,SHLD
21,J20 J22,=1*3/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 3,(1),2.091,=C25*I25,SHLD
22,J23,0,J-HDR2mm,S04B,JST@S04B-PASK,CONN HEADER SIDE THRU 4POS,(1),0.465,=C26*I26,IRRIGATE7
23,L1,1,L-PWR,15UH2A2,TDK@SLF10145T-150M2R2-PF,INDUCTOR POWER SHIELDED 15UH 2A2 SMD,(1),1.125,=C27*I27,CC01
24,L101,1,L-PWR,150UH0A3,BOURNS@SRR0604-151KL,INDUCTOR POWER SHIELDED 150UH SMD,(1),0.704,=C28*I28,IRRIGATE7
25,Q1 Q4 Q16 Q102 Q104 Q118 Q120 Q125 Q134 Q144 Q152 Q162,12,Q-PCH,DMB,DIODES@DMP3098L-7,MOSFET P-CH 3.8A 30V SOT23,(1),0.1482,=C29*I29,ADPT
26,Q2 Q7 Q9 Q10 Q12 Q17 Q111 Q113 Q123 Q126 Q128 Q136 Q146 Q159,14,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.28,=C30*I30,ADPT
27,Q3 Q6 Q8 Q11 Q15 Q101 Q107 Q108 Q109 Q110 Q112 Q114 Q117 Q121 Q122 Q127 Q131 Q132 Q141 Q143 Q151 Q160 Q161,23,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C31*I31,IRRIGATE7
28,Q5 Q103 Q105 Q119 Q133 Q135 Q145 Q153 Q163,9,Q-NCH,34N,DIODES@DMN3404L-7,MOSFET N-CH 5.8A 30V SOT23,(1),0.1351,=C32*I32,IRRIGATE7
29,Q13 Q14 Q106 Q115 Q116 Q129 Q130 Q138 Q139 Q140 Q142 Q147 Q148 Q149 Q150 Q154 Q155 Q156 Q157 Q164 Q165 Q166 Q167,23,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0247,=C33*I33,HT
30,Q124 Q137,2,Q-PCH,K84,DIODES@BSS84-7-F,MOSFET P-CH 130MA 50V SOT23,(1),0.1614,=C34*I34,IRRIGATE7
