LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Irrigate7 Headers,,,TOTAL,
,,,,,,9/2/18 (14320^5) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C105,1,C-AL,295R35V228,NICHICON@UVR1V222MHD,CAP ALUM 35V 2200UF 20% RADIAL,(1),0.785,=C5*I5,IRRIGATE7
2,D2,1,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C6*I6,ONESHOT
3,D103,1,D-LED,5MMRD,CREE@C503B-RCN-CW0Z0AA1,LED RED 5MM 2.1V@20MA,(1),0.129,=C7*I7,ONESHOT
4,J3 J4 J14,3,J-HDR2.54mm,PPPC101LFBN,SULLINS@PPPC101LFBN-RC,CONN HEADER FEMALE .1IN 10POS,(1),0.518,=C8*I8,IRRIGATE7
5,J11,=0*6/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 6,(1),1.882,=C9*I9,SHLD
6,J12,0,J-HDR2mm,S04B,JST@S04B-PASK,CONN HEADER SIDE THRU 4POS,(1),0.465,=C10*I10,IRRIGATE7
7,J13,=1*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 3X2,(1 4),3.77,=C11*I11,IRRIGATE7
8,J15,1,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE .1IN 8POS,(1),0.518,=C12*I12,IRRIGATE7
9,U2,1,U-DCDC,I50115,MURATA PS@OKI-78SR-5,SMPS 5V 1500MA SIP3,(1),4.228,=C13*I13,RPUNO
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
