LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Irrigate7 Plugs,,,TOTAL,
,,,,,,9/2/18 (14320^5) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,J1,=1*3/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 3,(6 2),1.13,=C5*I5,SHLD
2,J2 J8 J10,=3*4/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 4,(6 2),1.13,=C6*I6,SHLD
3,J5 J6 J9,=3*5/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 3 SET OF 5,(6 2),1.13,=C7*I7,SHLD
4,J7,=1*2/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 2 SET OF 2,(6 2),1.13,=C8*I8,SHLD
5,,1,J-HDR3.5mm,PT1.5/2-PVH-3.5,PHOENIX CONTACT@1984015,CONN PLUG STRIP 3.5MM 1 SET OF 2POS,(2),0.42,=C9*I9,SHLD
6,,1,J-HDR3.5mm,PT1.5/3-PVH-3.5,PHOENIX CONTACT@1984028,CONN PLUG STRIP 3.5MM 1 SET OF 3POS,(2 6),0.60,=C10*I10,SHLD
7,,3,J-HDR3.5mm,PT1.5/4-PVH-3.5,PHOENIX CONTACT@1984015+1984015,CONN PLUG STRIP 3.5MM 3 SET OF 2+2POS,(2),=0.43+0.43,=C11*I11,SHLD
8,,3,J-HDR3.5mm,PT1.5/5-PVH-3.5,PHOENIX CONTACT@1984015+1984028,CONN PLUG STRIP 3.5MM 3 SET OF 2+3POS,(2),=0.43+0.60,=C12*I12,SHLD
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) for x in (2 4 6 8): PST 1.0/x-3.5 mates with PT 1.5/x-PVH-3.5,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
,,,,,,(6) Cut 16 pin to needed size,,,,
